	Property Name	Property Location	Price	Property Info
7515	Bandar Bukit Mahkota Bangi	Bangi, Selangor	RM 452,180	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7516	Keruing Villas @ Putrajaya	Jalan Keruing, Bangi, Selangor	RM 413,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7517	Cyberia Crescent 1	Persiaran Fauna, Cyberjaya, Selangor	RM 422,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7518	Kota Warisan	Jalan Warisan Mulia 4/1, Kota Warisan, Sepang, Selangor	RM 413,000	Landed4 + 1 beds3 bath2 carparkRM -- sqft
7519	Bandar Puchong Jaya	Puchong, Selangor	RM 437,000	Landed4 + 1 beds3 bath2 carparkRM -- sqft
7520	Taman Semenyih Mewah	Off Jalan Bangi Lama, Semenyih, Selangor	RM 422,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7521	Bandar Puchong Jaya	Puchong, Selangor	RM 437,000	Landed4 + 1 beds3 bath2 carparkRM -- sqft
7522	Taman Semenyih Mewah	Off Jalan Bangi Lama, Semenyih, Selangor	RM 422,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7523	Taman Kristal, Dengkil	Jalan Kristal, Dengkil, Selangor	RM 452,100	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7524	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 462,300	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7525	Keruing Villas @ Putrajaya	Jalan Keruing, Bangi, Selangor	RM 403,800	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7526	Bandar Baru Salak Tinggi	Off Road 820, 43900 Sepang, Sepang, Selangor	RM 438,712	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7527	Duta Villa, Putrajaya	Jalan P14A 1/1, Presint 14, Putrajaya, Selangor	RM 420,990	Landed4 + 1 beds4 bath3 carparkRM -- sqft
7528	Taman Bukit Serdang	Jalan BS, Seri Kembangan, Selangor	RM 467,549	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7529	Duta Villa, Putrajaya	Jalan P14A 1/1, Presint 14, Putrajaya, Selangor	RM 425,520	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7530	Bandar Baru Salak Tinggi	Off Road 820, 43900 Sepang, Sepang, Selangor	RM 428,444	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7531	Duta Villa, Putrajaya	Jalan P14A 1/1, Presint 14, Putrajaya, Selangor	RM 413,000	Landed4 + 1 beds4 bath3 carparkRM -- sqft
7532	CasaView @ Cybersouth	Cyberjaya, Selangor	RM 437,000	Landed4 + 1 beds4 bath3 carparkRM -- sqft
7533	Duta Villa, Putrajaya	Jalan P14A 1/1, Presint 14, Putrajaya, Selangor	RM 428,200	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7534	Duta Villa, Putrajaya	Jalan P14A 1/1, Presint 14, Putrajaya, Selangor	RM 491,280	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7535	Duta Villa, Putrajaya	Jalan P14A 1/1, Presint 14, Putrajaya, Selangor	RM 450,888	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7536	Taman Ampang Saujana	Jalan Saujana, Ampang, Selangor	RM 474,110	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7537	Bangi Avenue	Jalan Bangi Avenue 1, Taman Bangi Avenue, Bangi, Selangor	RM 438,900	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7538	Taman Wawasan, Pusat Bandar Puchong	Pusat Bandar Puchong, Puchong, Selangor	RM 450,888	Landed3 + 1 beds4 bath2 carparkRM -- sqft
7539	Bandar Pelangi Semenyih 2	Persiaran Tps, Semenyih, Selangor	RM 462,288	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7540	Taman Dengkil Jaya	Jalan Kenanga 20, Taman Dengkil Jaya, Dengkil, Selangor	RM 428,220	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7541	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 468,100	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7542	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 437,300	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7543	Kampung Baru Seri Kembangan	Jalan SK, Seri Kembangan, Selangor	RM 422,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7544	Duta Villa, Putrajaya	Jalan P14A 1/1, Presint 14, Putrajaya, Selangor	RM 422,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7545	Kota Warisan	Jalan Warisan Mulia 4/1, Kota Warisan, Sepang, Selangor	RM 478,288	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7546	Bangi Avenue	Jalan Bangi Avenue 1, Taman Bangi Avenue, Bangi, Selangor	RM 418,229	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7547	Taman Puchong Utama	Puchong, Selangor	RM 412,990	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7548	Ampang Jaya	Ampang, Selangor	RM 467,292	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7549	Duta Villa, Putrajaya	Jalan P14A 1/1, Presint 14, Putrajaya, Selangor	RM 476,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7550	Taman Sri Serdang	Off Jalan Raya 3, Seri Kembangan, Selangor	RM 472,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7551	Bandar Bukit Mahkota Bangi	Bangi, Selangor	RM 413,998	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7552	Jalan Presint 10C/1	Cyberjaya, Selangor	RM 462,114	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7553	Taman Sungai Besi Indah	Jalan Sb Indah 3/7, Seri Kembangan, Selangor	RM 476,288	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7554	Taman Dahlia, Sepang	Jalan Dahlia Pewira, Sepang, Selangor	RM 412,992	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7555	D'Demang @ Seri Kembangan	Jalan DD 3A/2, Puchong South, Selangor	RM 467,180	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7556	Taman Bunga Raya, Sepang	Jalan Bunga Raya, Sepang, Selangor	RM 403,442	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7557	Taman Bukit Serdang	Jalan BS, Seri Kembangan, Selangor	RM 462,712	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7558	Duta Villa, Putrajaya	Jalan P14A 1/1, Presint 14, Putrajaya, Selangor	RM 482,229	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7559	Jalan Presint 11H/2	Cyberjaya, Selangor	RM 465,220	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7560	CasaView @ Cybersouth	Cyberjaya, Selangor	RM 452,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7561	Jalan Presint 11H/2	Cyberjaya, Selangor	RM 465,220	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7562	CasaView @ Cybersouth	Cyberjaya, Selangor	RM 452,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7563	Pantai Sepang Putra	Bagan Lalang, Tanjong Sepat, Selangor	RM 491,200	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7564	Taman Dahlia, Sepang	Jalan Dahlia Pewira, Sepang, Selangor	RM 472,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7565	Bandar Pinggiran Subang	Bandar Pinggiran Subang, Subang, Selangor	RM 412,599	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7566	Casa Green @ Cybersouth	Cyberjaya, Selangor	RM 478,288	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7567	Taman Mas Sepang	Jalan Dagang Mas; Jalan Pinggiran Mas, Puchong, Selangor	RM 412,929	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7568	Lingkaran Seri Kembangan	Hulu Selangor, Selangor	RM 421,288	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7569	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 450,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7570	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 413,892	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7571	Kekwa Apartment @ Putra Perdana	Jalan Putra Perdana 5b, Taman Putra Perdana, Puchong, Selangor	RM 170,000	Non Landed3 beds2 bath1 carparkRM 213/sqft795 sqft
7572	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 484,600	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7573	Bandar Baru Salak Tinggi	Off Road 820, 43900 Sepang, Sepang, Selangor	RM 423,800	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7574	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 422,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7575	CasaView @ Cybersouth	Cyberjaya, Selangor	RM 413,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7576	Lingkaran Cyber Point Barat	Cyberjaya, Selangor	RM 437,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7577	Duta Villa, Putrajaya	Jalan P14A 1/1, Presint 14, Putrajaya, Selangor	RM 452,720	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7578	Kampung Baru Seri Kembangan	Jalan SK, Seri Kembangan, Selangor	RM 443,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7579	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 403,800	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7580	Jalan Presint 10C/4	Cyberjaya, Selangor	RM 467,529	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7581	Ampang Jaya	Ampang, Selangor	RM 467,292	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7582	Duta Villa, Putrajaya	Jalan P14A 1/1, Presint 14, Putrajaya, Selangor	RM 476,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7583	Taman Sri Serdang	Off Jalan Raya 3, Seri Kembangan, Selangor	RM 472,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7584	Bandar Bukit Mahkota Bangi	Bangi, Selangor	RM 413,998	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7585	Jalan Presint 10C/1	Cyberjaya, Selangor	RM 462,114	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7586	Taman Sungai Besi Indah	Jalan Sb Indah 3/7, Seri Kembangan, Selangor	RM 476,288	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7587	Taman Dahlia, Sepang	Jalan Dahlia Pewira, Sepang, Selangor	RM 412,992	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7588	D'Demang @ Seri Kembangan	Jalan DD 3A/2, Puchong South, Selangor	RM 467,180	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7589	Taman Bunga Raya, Sepang	Jalan Bunga Raya, Sepang, Selangor	RM 403,442	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7590	Taman Bukit Serdang	Jalan BS, Seri Kembangan, Selangor	RM 462,712	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7591	Duta Villa, Putrajaya	Jalan P14A 1/1, Presint 14, Putrajaya, Selangor	RM 482,229	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7592	Jalan Presint 11H/2	Cyberjaya, Selangor	RM 465,220	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7593	CasaView @ Cybersouth	Cyberjaya, Selangor	RM 452,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7594	Pantai Sepang Putra	Bagan Lalang, Tanjong Sepat, Selangor	RM 491,200	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7595	Taman Dahlia, Sepang	Jalan Dahlia Pewira, Sepang, Selangor	RM 472,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7596	Bandar Pinggiran Subang	Bandar Pinggiran Subang, Subang, Selangor	RM 412,599	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7597	Casa Green @ Cybersouth	Cyberjaya, Selangor	RM 478,288	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7598	Taman Mas Sepang	Jalan Dagang Mas; Jalan Pinggiran Mas, Puchong, Selangor	RM 412,929	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7599	Lingkaran Seri Kembangan	Hulu Selangor, Selangor	RM 421,288	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7600	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 450,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7601	Taman Emas, Dengkil	Jalan Emas, Sepang, Selangor	RM 412,989	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7602	Kota Warisan	Jalan Warisan Mulia 4/1, Kota Warisan, Sepang, Selangor	RM 352,810	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7603	Taman Seri Sentosa, Sepang	Jalan Seri Sentosa, Sepang, Selangor	RM 451,190	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7604	Kota Warisan	Jalan Warisan Mulia 4/1, Kota Warisan, Sepang, Selangor	RM 412,998	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7605	Pantai Sepang Putra	Bagan Lalang, Tanjong Sepat, Selangor	RM 417,210	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7606	Taman Puchong Utama	Puchong, Selangor	RM 468,200	Landed4 + 1 beds4 bath4 carparkRM -- sqft
7607	Pantai Sepang Putra	Bagan Lalang, Tanjong Sepat, Selangor	RM 403,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7608	Taman Seri Sentosa, Sepang	Jalan Seri Sentosa, Sepang, Selangor	RM 399,210	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7609	Bandar Baru Salak Tinggi	Off Road 820, 43900 Sepang, Sepang, Selangor	RM 391,712	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7610	Taman Dahlia, Sepang	Jalan Dahlia Pewira, Sepang, Selangor	RM 428,710	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7611	Bandar Baru Salak Tinggi	Off Road 820, 43900 Sepang, Sepang, Selangor	RM 381,529	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7612	Taman Seri Sentosa, Sepang	Jalan Seri Sentosa, Sepang, Selangor	RM 461,920	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7613	Taman Cempaka, Bandar Baru Salak Tinggi	Jalan ST 1D/1, Sepang, Selangor	RM 418,299	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7614	Taman Bunga Raya, Sepang	Jalan Bunga Raya, Sepang, Selangor	RM 451,299	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7615	Bandar Baru Salak Tinggi	Off Road 820, 43900 Sepang, Sepang, Selangor	RM 391,270	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7616	Pantai Sepang Putra	Bagan Lalang, Tanjong Sepat, Selangor	RM 412,120	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7617	Seksyen 21, Petaling Jaya	Off Jalan SS2/24, Petaling Jaya, Selangor	RM 467,180	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7618	Sri Anggerik 1	Jalan Bandar Puchong Jaya, Bandar Puchong Jaya, Puchong, Selangor	RM 205,000	Non Landed3 beds1 bath1 carparkRM 256/sqft800 sqft
7619	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 438,900	Landed4 + 1 beds3 bath2 carparkRM 176/sqft2,480 sqft
7620	Duta Villa, Putrajaya	Jalan P14A 1/1, Presint 14, Putrajaya, Selangor	RM 413,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7621	Duta Villa, Putrajaya	Jalan P14A 1/1, Presint 14, Putrajaya, Selangor	RM 482,229	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7622	Jalan Presint 11H/2	Cyberjaya, Selangor	RM 465,220	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7623	CasaView @ Cybersouth	Cyberjaya, Selangor	RM 452,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7624	Pantai Sepang Putra	Bagan Lalang, Tanjong Sepat, Selangor	RM 491,200	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7625	Taman Dahlia, Sepang	Jalan Dahlia Pewira, Sepang, Selangor	RM 472,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7626	Bandar Pinggiran Subang	Bandar Pinggiran Subang, Subang, Selangor	RM 412,599	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7627	Casa Green @ Cybersouth	Cyberjaya, Selangor	RM 478,288	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7628	Taman Mas Sepang	Jalan Dagang Mas; Jalan Pinggiran Mas, Puchong, Selangor	RM 412,929	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7629	Lingkaran Seri Kembangan	Hulu Selangor, Selangor	RM 421,288	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7630	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 450,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7631	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 413,892	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7632	Kekwa Apartment @ Putra Perdana	Jalan Putra Perdana 5b, Taman Putra Perdana, Puchong, Selangor	RM 170,000	Non Landed3 beds2 bath1 carparkRM 213/sqft795 sqft
7633	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 484,600	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7634	Bandar Baru Salak Tinggi	Off Road 820, 43900 Sepang, Sepang, Selangor	RM 423,800	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7635	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 422,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7636	CasaView @ Cybersouth	Cyberjaya, Selangor	RM 413,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7637	Lingkaran Cyber Point Barat	Cyberjaya, Selangor	RM 437,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7638	Duta Villa, Putrajaya	Jalan P14A 1/1, Presint 14, Putrajaya, Selangor	RM 452,720	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7639	Kampung Baru Seri Kembangan	Jalan SK, Seri Kembangan, Selangor	RM 443,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7640	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 403,800	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7641	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 450,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7642	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 413,892	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7643	Kekwa Apartment @ Putra Perdana	Jalan Putra Perdana 5b, Taman Putra Perdana, Puchong, Selangor	RM 170,000	Non Landed3 beds2 bath1 carparkRM 213/sqft795 sqft
7644	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 484,600	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7645	Bandar Baru Salak Tinggi	Off Road 820, 43900 Sepang, Sepang, Selangor	RM 423,800	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7646	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 422,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7647	CasaView @ Cybersouth	Cyberjaya, Selangor	RM 413,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7648	Lingkaran Cyber Point Barat	Cyberjaya, Selangor	RM 437,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7649	Duta Villa, Putrajaya	Jalan P14A 1/1, Presint 14, Putrajaya, Selangor	RM 452,720	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7650	Kampung Baru Seri Kembangan	Jalan SK, Seri Kembangan, Selangor	RM 443,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7651	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 403,800	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7652	Jalan Presint 10C/4	Cyberjaya, Selangor	RM 467,529	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7653	Taman Puchong Indah	Jalan Indah, Puchong, Selangor	RM 413,000	Landed4 + 1 beds4 bath3 carparkRM -- sqft
7654	Pantai Sepang Putra	Bagan Lalang, Tanjong Sepat, Selangor	RM 408,272	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7655	Taman Bunga Raya, Sepang	Jalan Bunga Raya, Sepang, Selangor	RM 467,214	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7656	Kampung Batu 14, Puchong	Puchong, Selangor	RM 463,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7657	Keruing Villas @ Putrajaya	Jalan Keruing, Bangi, Selangor	RM 437,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7658	Kampung Baru Seri Kembangan	Jalan SK, Seri Kembangan, Selangor	RM 482,660	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7659	Taman Dahlia, Sepang	Jalan Dahlia Pewira, Sepang, Selangor	RM 421,972	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7660	Taman Dahlia, Sepang	Jalan Dahlia Pewira, Sepang, Selangor	RM 451,200	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7661	Kota Warisan	Jalan Warisan Mulia 4/1, Kota Warisan, Sepang, Selangor	RM 478,288	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7662	Bangi Avenue	Jalan Bangi Avenue 1, Taman Bangi Avenue, Bangi, Selangor	RM 418,229	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7663	Taman Puchong Utama	Puchong, Selangor	RM 412,990	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7664	Ampang Jaya	Ampang, Selangor	RM 467,292	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7665	Duta Villa, Putrajaya	Jalan P14A 1/1, Presint 14, Putrajaya, Selangor	RM 476,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7666	Taman Sri Serdang	Off Jalan Raya 3, Seri Kembangan, Selangor	RM 472,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7667	Bandar Bukit Mahkota Bangi	Bangi, Selangor	RM 413,998	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7668	Jalan Presint 10C/1	Cyberjaya, Selangor	RM 462,114	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7669	Taman Sungai Besi Indah	Jalan Sb Indah 3/7, Seri Kembangan, Selangor	RM 476,288	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7670	Taman Dahlia, Sepang	Jalan Dahlia Pewira, Sepang, Selangor	RM 412,992	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7671	D'Demang @ Seri Kembangan	Jalan DD 3A/2, Puchong South, Selangor	RM 467,180	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7672	Taman Bunga Raya, Sepang	Jalan Bunga Raya, Sepang, Selangor	RM 403,442	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7673	Taman Bukit Serdang	Jalan BS, Seri Kembangan, Selangor	RM 462,712	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7674	Duta Villa, Putrajaya	Jalan P14A 1/1, Presint 14, Putrajaya, Selangor	RM 482,229	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7675	Jalan Presint 11H/2	Cyberjaya, Selangor	RM 465,220	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7676	CasaView @ Cybersouth	Cyberjaya, Selangor	RM 452,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7677	Pantai Sepang Putra	Bagan Lalang, Tanjong Sepat, Selangor	RM 491,200	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7678	Taman Dahlia, Sepang	Jalan Dahlia Pewira, Sepang, Selangor	RM 472,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7679	Bandar Pinggiran Subang	Bandar Pinggiran Subang, Subang, Selangor	RM 412,599	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7680	Casa Green @ Cybersouth	Cyberjaya, Selangor	RM 478,288	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7681	Taman Mas Sepang	Jalan Dagang Mas; Jalan Pinggiran Mas, Puchong, Selangor	RM 412,929	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7682	Lingkaran Seri Kembangan	Hulu Selangor, Selangor	RM 421,288	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7683	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 450,188	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7684	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 413,892	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7685	Kekwa Apartment @ Putra Perdana	Jalan Putra Perdana 5b, Taman Putra Perdana, Puchong, Selangor	RM 170,000	Non Landed3 beds2 bath1 carparkRM 213/sqft795 sqft
7686	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 484,600	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7687	Bandar Baru Salak Tinggi	Off Road 820, 43900 Sepang, Sepang, Selangor	RM 423,800	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7688	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 422,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7689	CasaView @ Cybersouth	Cyberjaya, Selangor	RM 413,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7690	Lingkaran Cyber Point Barat	Cyberjaya, Selangor	RM 437,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7691	Duta Villa, Putrajaya	Jalan P14A 1/1, Presint 14, Putrajaya, Selangor	RM 452,720	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7692	Kampung Baru Seri Kembangan	Jalan SK, Seri Kembangan, Selangor	RM 443,000	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7693	Taman Pinggiran Cyber	Jalan PC 3/2, Taman Pinggiran Cyber., Cyberjaya, Selangor	RM 403,800	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7694	Jalan Presint 10C/4	Cyberjaya, Selangor	RM 467,529	Landed4 + 1 beds4 bath2 carparkRM -- sqft
7695	Taman Puchong Indah	Jalan Indah, Puchong, Selangor	RM 413,000	Landed4 + 1 beds4 bath3 carparkRM -- sqft
7696	Pantai Sepang Putra	Bagan Lalang, Tanjong Sepat, Selangor	RM 408,272	Landed4 + 1 beds4 bath2 carparkRM -- sqft
